ID,Content,ASIL,Fault ID,Detection Time,Reaction Time,Debounce,Recovery,Safe State,DTC,Verification
SYS_REQ_0001,"WHILE VehSpd is within [0 kph, 250 kph], THE SYSTEM SHALL process the VehSpd value within [50 ms].",ASIL B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0002,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.",ASIL B,F_OOR_HI_VEHSPD,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_101_VSPD_OOR_HI,HIL_FaultInjection
SYS_REQ_0003,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.",ASIL B,F_OOR_LO_VEHSPD,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_101_VSPD_OOR_LO,HIL_FaultInjection
SYS_REQ_0004,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.",ASIL B,F_TO_VEHSPD,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_101_VSPD_TO,HIL_FaultInjection
SYS_REQ_0005,"IF VehSpd AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_ALC - transition to safe state.",ASIL B,F_ALC_VEHSPD,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_101_VSPD_ALC,HIL_FaultInjection
SYS_REQ_0006,"IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_CRC - transition to safe state.",ASIL B,F_CRC_VEHSPD,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_101_VSPD_CRC,HIL_FaultInjection
SYS_REQ_0007,"WHILE F_TO_VEHSPD is active AND VehSpd is valid for [500 ms], THE SYSTEM SHALL clear the fault F_TO_VEHSPD and extinguish DTC_101_VSPD_TO within [20 ms].",ASIL B,N/A,N/A,20 ms,500 ms,N/A,Resume operation,DTC_101_VSPD_TO,HIL_RecoveryTest
SYS_REQ_0008,"WHILE YawRate is within [-120 deg/s, 120 deg/s], THE SYSTEM SHALL process the YawRate value within [50 ms].",ASIL B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0009,"IF YawRate > 120 deg/s, THEN THE SYSTEM SHALL: - detect F_OOR_HI_YawRate within [10 ms] - react within [10 ms] - set DTC_102_YAW_OOR_HI - transition to safe state.",ASIL B,F_OOR_HI_YAWRATE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_102_YAW_OOR_HI,HIL_FaultInjection
SYS_REQ_0010,"IF YawRate < -120 deg/s, THEN THE SYSTEM SHALL: - detect F_OOR_LO_YawRate within [10 ms] - react within [10 ms] - set DTC_102_YAW_OOR_LO - transition to safe state.",ASIL B,F_OOR_LO_YAWRATE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_102_YAW_OOR_LO,HIL_FaultInjection
SYS_REQ_0011,"IF YawRate is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_YawRate within [10 ms] - react within [10 ms] - set DTC_102_YAW_TO - transition to safe state.",ASIL B,F_TO_YAWRATE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_102_YAW_TO,HIL_FaultInjection
SYS_REQ_0012,"IF YawRate AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_YawRate within [10 ms] - react within [10 ms] - set DTC_102_YAW_ALC - transition to safe state.",ASIL B,F_ALC_YAWRATE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_102_YAW_ALC,HIL_FaultInjection
SYS_REQ_0013,"IF YawRate CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_YawRate within [10 ms] - react within [10 ms] - set DTC_102_YAW_CRC - transition to safe state.",ASIL B,F_CRC_YAWRATE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_102_YAW_CRC,HIL_FaultInjection
SYS_REQ_0014,"WHILE F_TO_YAWRATE is active AND YawRate is valid for [500 ms], THE SYSTEM SHALL clear the fault F_TO_YAWRATE and extinguish DTC_102_YAW_TO within [20 ms].",ASIL B,N/A,N/A,20 ms,500 ms,N/A,Resume operation,DTC_102_YAW_TO,HIL_RecoveryTest
SYS_REQ_0015,"WHILE DriverTorque is within [-15 Nm, 15 Nm], THE SYSTEM SHALL process the DriverTorque value within [30 ms].",ASIL D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
